id;number_room;description;limitation;state_ambient;type_environment_id;sede_id
1;card Home Loan Account Applications;invoice Research;SIN_LIMITACION;INACTIVO;1;1
2;Pants Auto Loan Account;Incredible Incredible;SIN_LIMITACION;ACTIVO;2;2
3;Clothing Engineer Toys;granular;CON_LIMITACION;INACTIVO;3;3
4;Cocos (Keeling) Islands Awesome;USB alarm 1080p;CON_LIMITACION;INACTIVO;4;4
5;Rand Namibia Dollar;Branding;CON_LIMITACION;ACTIVO;5;5
6;algorithm Metal card;Direct;SIN_LIMITACION;INACTIVO;6;6
7;one-to-one Connecticut;Unbranded Tugrik;CON_LIMITACION;INACTIVO;7;7
8;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;CON_LIMITACION;ACTIVO;8;8
9;matrix Data;Supervisor;CON_LIMITACION;ACTIVO;9;9
10;Russian Federation program;Practical;CON_LIMITACION;ACTIVO;10;10
