id;name_area;url_logo;url_logo_content_type;state_area
1;Forward;../fake-data/blob/hipster.png;image/png;INACTIVO
2;Personal Loan Account;../fake-data/blob/hipster.png;image/png;ACTIVO
3;bi-directional;../fake-data/blob/hipster.png;image/png;INACTIVO
4;virtual;../fake-data/blob/hipster.png;image/png;ACTIVO
5;Implemented Computers;../fake-data/blob/hipster.png;image/png;ACTIVO
6;Bond Markets Units European Composite Un;../fake-data/blob/hipster.png;image/png;ACTIVO
7;RSS Borders;../fake-data/blob/hipster.png;image/png;INACTIVO
8;optimal EXE optical;../fake-data/blob/hipster.png;image/png;ACTIVO
9;next-generation Quality-focused Quality;../fake-data/blob/hipster.png;image/png;INACTIVO
10;Salad;../fake-data/blob/hipster.png;image/png;ACTIVO
