id;code_competition;denomination;program_id
1;Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;1
2;solution connecting;California PNG engage;2
3;Burg;transmit Credit Card Account;3
4;digital Corporate Checking Account;seamless New York mesh;4
5;Unbranded array;Berkshire solid state;5
6;middleware Switzerland;Data Granite Configuration;6
7;compress Practical Steel Chips;Berkshire concept;7
8;Illinois robust;Granite Rubber;8
9;enable;deposit Chicken best-of-breed;9
10;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;10
