id;course_number;start_date;end_date;route;course_state_id;program_id
1;Total;2019-11-25T18:00:23;2019-11-25T11:59:26;Indian Rupee bluetooth;1;1
2;Club Nebraska;2019-11-25T08:33:11;2019-11-25T12:09:09;quantify architectures;2;2
3;empower;2019-11-25T18:08:16;2019-11-25T17:31:21;payment Illinois dot-com;3;3
4;methodology Integration Music;2019-11-25T20:49:43;2019-11-25T22:34:04;Multi-tiered Pizza;4;4
5;Gorgeous;2019-11-25T06:53:45;2019-11-25T22:04:32;Internal;5;5
6;Sleek Steel Shirt;2019-11-25T09:30:35;2019-11-25T02:39:35;Fresh incubate Agent;6;6
7;Jewelery Engineer Bedfordshire;2019-11-25T08:53:14;2019-11-25T10:11:21;Assurance Nebraska Mississippi;7;7
8;synthesizing;2019-11-25T21:18:53;2019-11-25T21:44:51;orchestration channels Buckinghamshire;8;8
9;Bouvet Island (Bouvetoya);2019-11-25T09:15:47;2019-11-25T11:34:54;asymmetric Montana Sausages;9;9
10;internet solution Checking Account;2019-11-25T17:22:30;2019-11-25T18:09:29;Rubber Awesome Frozen Mouse;10;10
