id;scheduled_quarter;start_date;end_date;state_current_quarter;year_id
1;9390;2019-11-25T08:41:49;2019-11-25T10:05:40;INACTIVO;1
2;96334;2019-11-25T21:59:07;2019-11-25T20:06:34;ACTIVO;2
3;49717;2019-11-25T20:22:38;2019-11-25T11:24:31;INACTIVO;3
4;79551;2019-11-25T09:41:18;2019-11-25T04:11:19;INACTIVO;4
5;65123;2019-11-25T12:23:04;2019-11-25T23:40:43;ACTIVO;5
6;31811;2019-11-25T02:47:05;2019-11-25T05:26:33;ACTIVO;6
7;56701;2019-11-25T19:18:30;2019-11-25T08:30:51;ACTIVO;7
8;76519;2019-11-25T18:23:17;2019-11-25T04:01:15;ACTIVO;8
9;43558;2019-11-25T05:23:00;2019-11-25T06:36:32;ACTIVO;9
10;32838;2019-11-25T18:26:48;2019-11-25T11:06:43;ACTIVO;10
