id;start_date;end_date;year_id;instructor_id;linkage_id
1;2019-11-26T01:26:23;2019-11-25T06:26:55;1;1;1
2;2019-11-26T00:21:03;2019-11-25T17:38:58;2;2;2
3;2019-11-25T16:42:38;2019-11-25T18:30:23;3;3;3
4;2019-11-25T23:03:06;2019-11-25T02:46:40;4;4;4
5;2019-11-25T12:36:57;2019-11-25T21:24:58;5;5;5
6;2019-11-25T09:41:23;2019-11-25T09:36:01;6;6;6
7;2019-11-25T07:01:22;2019-11-25T06:31:20;7;7;7
8;2019-11-25T21:25:59;2019-11-26T01:14:54;8;8;8
9;2019-11-25T22:13:02;2019-11-25T10:08:51;9;9;9
10;2019-11-25T23:43:38;2019-11-25T03:23:59;10;10;10
