id;name_day;description;state_journey_instructor
1;Metal Lead;Communications Generic Granite Gloves;INACTIVO
2;Auto Loan Account Avon;Customer Montserrat;ACTIVO
3;protocol;Profound Shoes;INACTIVO
4;PNG;deposit Avon;ACTIVO
5;Virgin Islands, British Borders Intellig;Algerian Dinar Practical Steel Mouse;ACTIVO
6;Assurance mindshare navigating;bricks-and-clicks drive;INACTIVO
7;Clothing target;HDD Forward;ACTIVO
8;sticky benchmark Point;program Soft interface;INACTIVO
9;applications;Berkshire;ACTIVO
10;Home Loan Account Louisiana;Checking Account Tuna;INACTIVO
