id;code;date;state_plannig
1;Idaho customized;2019-11-25T16:50:28;INACTIVO
2;experiences;2019-11-25T18:14:57;ACTIVO
3;HDD Borders reboot;2019-11-25T12:28:52;INACTIVO
4;Steel salmon application;2019-11-25T14:22:52;ACTIVO
5;Creek Investment Account Buckinghamshire;2019-11-25T13:16:48;ACTIVO
6;synthesize Baby Credit Card Account;2019-11-25T12:39:52;INACTIVO
7;Interactions;2019-11-25T18:00:58;ACTIVO
8;Savings Account Customer Granite;2019-11-25T23:49:03;INACTIVO
9;Awesome International solid state;2019-11-26T01:41:02;ACTIVO
10;Handmade Unbranded;2019-11-25T06:03:58;ACTIVO
