id;code_program;version;name_program;initial;state_program
1;Usability;Applications Missouri deposit;Gorgeous Money Market Account;Danish Krone parse;SUSPENDIDO
2;Designer;mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;EJECUCION
3;revolutionize;panel Sleek Intelligent;Maine PCI SAS;Interactions;EJECUCION
4;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;EJECUCION
5;seize Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;EJECUCION
6;Tuna magenta;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional;EJECUCION
7;withdrawal;one-to-one Indiana;holistic;Architect;SUSPENDIDO
8;clear-thinking Frozen Licensed;Group hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;SUSPENDIDO
9;redefine transmitting;bypassing Bypass;Plastic Movies;SMS;SUSPENDIDO
10;capacitor program enhance;Falls;User-friendly;Savings Account;SUSPENDIDO
