id;start_time;end_time;course_has_trimester_id;ambient_id;instructor_id;day_id;schedule_version_id;modality_id
1;2019-11-26T00:31:36;2019-11-25T23:42:29;1;1;1;1;1;1
2;2019-11-26T01:56:46;2019-11-26T01:22:59;2;2;2;2;2;2
3;2019-11-25T03:16:52;2019-11-25T14:01:52;3;3;3;3;3;3
4;2019-11-25T08:32:13;2019-11-25T16:56:05;4;4;4;4;4;4
5;2019-11-25T17:45:32;2019-11-25T15:09:01;5;5;5;5;5;5
6;2019-11-25T19:07:12;2019-11-25T02:26:20;6;6;6;6;6;6
7;2019-11-25T17:50:39;2019-11-25T02:56:21;7;7;7;7;7;7
8;2019-11-25T07:38:43;2019-11-25T03:37:17;8;8;8;8;8;8
9;2019-11-25T10:21:51;2019-11-25T07:25:29;9;9;9;9;9;9
10;2019-11-25T21:47:32;2019-11-25T17:43:15;10;10;10;10;10;10
