id;initial_working_day;name_working_day;description;imagen_url;imagen_url_content_type;state_working_day
1;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;../fake-data/blob/hipster.png;image/png;ACTIVO
2;Automotive Tactics a;Wisconsin Facilitator Incredible;reinvent;../fake-data/blob/hipster.png;image/png;ACTIVO
3;calculating Intranet;Director Concrete Bedfordshire;portal calculating Metal;../fake-data/blob/hipster.png;image/png;INACTIVO
4;HDD;Sleek Beauty Auto Loan Account;deposit;../fake-data/blob/hipster.png;image/png;INACTIVO
5;interfaces;Garden Dale Wallis and Futuna;generating;../fake-data/blob/hipster.png;image/png;ACTIVO
6;South Georgia and th;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;../fake-data/blob/hipster.png;image/png;ACTIVO
7;morph content bypass;Electronics;Refined infomediaries Som;../fake-data/blob/hipster.png;image/png;ACTIVO
8;Enterprise-wide Beni;Tuna Response invoice;alarm Jamaica;../fake-data/blob/hipster.png;image/png;ACTIVO
9;Steel leading-edge S;Incredible Fresh Chips;Shoes Music connect;../fake-data/blob/hipster.png;image/png;ACTIVO
10;Personal Loan Accoun;HTTP explicit;Personal Loan Account;../fake-data/blob/hipster.png;image/png;INACTIVO
